Company Location,Company Location_idx
U.S.A.,0
France,1
Fiji,2
Vanuatu,3
Ecuador,4
Mexico,5
U.K.,6
Netherlands,7
Spain,8
Russia,9
Peru,10
Canada,11
Italy,12
Brazil,13
Nicaragua,14
Australia,15
Philippines,16
Wales,17
Belgium,18
Vietnam,19
Germany,20
Singapore,21
Switzerland,22
Venezuela,23
Malaysia,24
South Korea,25
Taiwan,26
Puerto Rico,27
Colombia,28
Japan,29
New Zealand,30
Costa Rica,31
Hungary,32
Amsterdam,33
Scotland,34
Martinique,35
Sao Tome,36
St. Lucia,37
Argentina,38
Guatemala,39
South Africa,40
Dominican Republic,41
Sao Tome & Principe,42
Bolivia,43
Portugal,44
Norway,45
Denmark,46
Grenada,47
Israel,48
India,49
St.Vincent-Grenadines,50
Czech Republic,51
Thailand,52
Finland,53
Madagascar,54
Sweden,55
Poland,56
Austria,57
Honduras,58
U.A.E.,59
Lithuania,60
Ireland,61
Chile,62
Ghana,63
Iceland,64
Suriname,65
El Salvador,66
