Country of Bean Origin,Country of Bean Origin_idx
Tanzania,0
Dominican Republic,1
Madagascar,2
Fiji,3
Venezuela,4
Uganda,5
India,6
Bolivia,7
Peru,8
Panama,9
Colombia,10
Burma,11
Brazil,12
Papua New Guinea,13
Ecuador,14
Cuba,15
Togo,16
Sao Tome,17
Mexico,18
Vanuatu,19
Indonesia,20
Trinidad,21
Vietnam,22
Nicaragua,23
Ghana,24
Belize,25
Blend,26
Jamaica,27
Grenada,28
Guatemala,29
Honduras,30
Costa Rica,31
Haiti,32
Congo,33
Philippines,34
Solomon Islands,35
Malaysia,36
Sri Lanka,37
Ivory Coast,38
Gabon,39
Taiwan,40
Puerto Rico,41
Martinique,42
St. Lucia,43
Australia,44
Liberia,45
Sierra Leone,46
U.S.A.,47
Nigeria,48
St.Vincent-Grenadines,49
Thailand,50
Tobago,51
Sao Tome & Principe,52
Sumatra,53
El Salvador,54
Cameroon,55
Samoa,56
China,57
Principe,58
Sulawesi,59
Suriname,60
DR Congo,61
