Specific Bean Origin or Bar Name,Specific Bean Origin or Bar Name_idx
"Kokoa Kamili, batch 1",0
"Zorzal, batch 1",1
"Bejofo Estate, batch 1",2
"Matasawalevu, batch 1",3
"Sur del Lago, batch 1",4
"Semuliki Forest, batch 1",5
"Anamalai, batch 1",6
Bolivia,7
Peru,8
Panama,9
Colombie,10
"Madagascar, Criollo",11
Birmanie,12
Brazil,13
Papua New Guinea,14
Piura,15
Chanchamayo Province,16
Equateur,17
Chuao,18
"Carenero, Criollo",19
Cuba,20
"Sur del Lago, Criollo",21
"Puerto Cabello, Criollo",22
Pablino,23
Kpime,24
Atsane,25
Akata,26
Quilla,27
Agua Grande,28
Porcelana,29
Absolu,30
La Joya,31
"Chulucanas, El Platanal, batch 001",32
"Tumbes, Norandino",33
"Teapa, Tabasco, batch 2",34
"Barataria, El Plantal and Norandino Tumbes blend",35
Vanua Levu,36
"Vanua Levu, Toto-A",37
"Vanua Levu, Ami-Ami-CA",38
"Malekula Island, batch M10/19",39
"Malo Island, batch Ma20/19",40
"Santo Island, batch S15/19",41
"EPI Island, batch E 11/19",42
"Los Rios, Quevedo, Arriba",43
Tabasco,44
"Madagascar, Ambolikapiky P.",45
"Monte Alegre, D. Badero",46
"Bali (west), Sukrama Family, Melaya area",47
"Piura, Perou",48
Trinite,49
Vietnam,50
Madagascar,51
"Porcelana, Mexique",52
"Winak Coop, Napo",53
"La Dalia, Matagalpa",54
"Makwale Village, Kyela",55
Tien Giang,56
Sur del Lago,57
"Conacado, batch 130",58
"Bolivia, batch 154",59
"Bolivia, batch 101",60
"Peru, batch 148",61
CIAAB Coop,62
Villa Andina,63
Momotombo,64
Gruppo Salinas,65
Acopagro,66
Oko Caribe,67
Cuyagua,68
Ocumare,69
"Bali, Jembrana",70
Montanya,71
Dos Rios,72
Guayas,73
Morobe,74
Ecuador,75
Ghana,76
Maranon,77
Platan Bajo,78
"LamasdelChanka, San Martin, Oro Verde coop",79
"Bellavista Gran Pajeten, San Martin",80
Belize,81
Dominican Republic,82
Venezuela,83
Toscano Black,84
Jamaica,85
Grenada,86
Trinidad,87
"Piura, Blanco de Criollo",88
Nine,89
"Monte Alegre, 3 diff. plantations",90
Catongo,91
Elvesia,92
Alto Beni,93
"Maya Mountain, batch 39",94
"Alta Verapaz, Cahabon & Lanquin regions, b. 4243",95
Chiapas,96
Trincheras,97
Fazenda Camboa,98
Guatemala,99
Nacional,100
Camino Verde,101
"Puerto Quito, heirloom",102
Maya Mountain,103
Chuno,104
Hacienda Victoria,105
Costa Esmeraldas,106
Matasawalevu,107
Lam Dong,108
San Juan,109
Lachua,110
"La Masica, FHIA",111
Kokoa Kamili,112
Rugoso,113
"Coto Brus, Terciopelo",114
Phantom,115
Anamalai,116
Sambirano Valley,117
Ben Tre,118
Ucayali,119
Beniano,120
Pisa,121
Ramnath E.,122
Tumaco,123
Idukki,124
Jangareddygudem,125
Apoyo,126
Masaya,127
Mombacho,128
Cocibolca,129
Congo,130
Brazil Rio Doce,131
"Ocumare, Venezuela",132
Java,133
Costa Rica,134
Ba Ria Vung Tau Province,135
Bali,136
Haiti,137
"Colombia, Casa Luker",138
"Trinidad, Heritage, Limited ed.",139
"Orinoqua Region, Arauca",140
"Idukki Kerala, lot IN728221",141
"Bejofo E., Akesson, lot MA72820",142
"Kokoa Kamili, lot TZ72199",143
Xoconusco,144
San Jose del Tambo,145
Davao,146
"Tenende, Uwate",147
Cortes,148
Mababa,149
Solomon Islands,150
"Paquibao E., 2016",151
South Cotabato,152
"Saloy E., 2016",153
Zorzal,154
Bahia,155
Houseblend,156
Sambirano,157
"Bahia, Vale Potumujo",158
"Bambamarca, 2015",159
"Huallabamba, 2015",160
Uganda,161
Duarte Province,162
Maranon Canyon,163
"Turrialba, Cartago P.",164
Montserrat Hills,165
single estate,166
"Dominican Republic, Batch 3",167
"Asajaya E, NW Borneo, b. #132/4500",168
"Serian E., NW Borneo, b. #134/3800",169
"Brazil, Batch 20316",170
"Dominican Republic, Batch 31616",171
"Ecuador, Batch 31516",172
"Alto Beni, Palos Blanco",173
"Kokao Kamili, Kilombero Valley",174
"Oko Caribe, Duarte P.",175
"Ben Tre, batch 70301",176
"Belize south, low fermentation",177
Belize south,178
Vung Tau,179
"Anamalai, 2018 harvest",180
"Sungai Ruan, Koh Farm",181
"Somia Plantation, Sambirano, 70hr C",182
"Bali, Sukrama Bros. Farm, Melaya, 62hr C",183
Baracoa,184
Cuyagua Village,185
Rio Peripa H.,186
Nature,187
